All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly     # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50     N90     auN       L50  L90   # N's per 100 kbp
ERR4999574   274                  248                     156                     102                      54                       15                       3882171                 3862149                    3635847                    3236984                     2446869                     1118755                     274        123255          3882171       39.14   31913   7204    39593.2   37   133   5.15             
ERR4999575   98                   81                      49                      40                       28                       23                       4290247                 4278767                    4205710                    4135320                     3946887                     3777216                     98         472613          4290247       38.85   209498  34194   214857.7  8    26    13.92            
ERR4999577   95                   82                      52                      40                       28                       23                       4291326                 4282316                    4218651                    4130071                     3947994                     3776998                     95         467043          4291326       38.85   209498  34836   213528.3  8    26    9.32             
ERR5000113   48                   45                      39                      34                       30                       24                       4258211                 4255866                    4246209                    4208932                     4164007                     3956049                     48         580018          4258211       38.75   209998  55843   236794.2  7    22    4.65             
ERR5000114   109                  94                      55                      47                       37                       30                       4031383                 4022091                    3931599                    3864513                     3685668                     3433470                     109        291209          4031383       39.10   110353  29635   130829.2  12   35    4.96             
ERR5000123   198                  191                     130                     98                       52                       18                       4199616                 4194423                    4054517                    3816865                     3015405                     1840592                     198        236829          4199616       39.00   44740   11467   69338.7   24   95    2.36             
ERR5000189   81                   72                      57                      52                       38                       25                       3757187                 3751218                    3722165                    3676436                     3440699                     2969255                     81         296760          3757187       39.02   99416   28656   131102.8  11   36    15.94            
ERR5000190   172                  169                     119                     86                       53                       26                       3901273                 3899219                    3779649                    3528182                     2973945                     2085954                     172        168224          3901273       38.93   52398   10761   59883.4   24   85    7.59             
ERR5000204   214                  204                     131                     102                      61                       20                       4249808                 4242193                    4075369                    3850653                     3168510                     1774984                     214        211037          4249808       38.99   38733   11120   58737.3   29   100   4.66             
ERR5205865   114                  104                     77                      65                       52                       31                       3919491                 3912237                    3850938                    3769183                     3555453                     2789833                     114        187660          3919491       39.10   72921   26256   82119.1   18   51    5.56             
ERR5205866   110                  91                      55                      47                       33                       27                       4040433                 4028038                    3940982                    3876915                     3605053                     3397011                     110        330174          4040433       39.10   130061  24339   137617.6  11   35    7.40             
ERR5205867   46                   41                      31                      28                       22                       18                       4108932                 4105412                    4082309                    4060331                     3975166                     3827907                     46         460246          4108932       38.85   349682  62985   290838.0  5    16    0.00             
ERR5205868   114                  96                      55                      46                       33                       27                       4040526                 4028476                    3926926                    3856764                     3606557                     3401268                     114        326368          4040526       39.10   130063  24339   137962.2  11   35    7.38             
ERR5205869   64                   53                      40                      38                       33                       23                       3849043                 3841683                    3811296                    3796999                     3720578                     3303152                     64         293014          3849043       39.01   161413  47402   155342.4  9    27    7.61             
ERR5205871   61                   54                      42                      41                       34                       28                       3957490                 3952983                    3931201                    3925847                     3800637                     3585520                     61         371875          3957490       38.89   131672  50261   162442.0  10   28    7.53             
ERR6938061   71                   59                      43                      32                       30                       25                       4273327                 4264958                    4234614                    4153654                     4121613                     3968445                     71         352777          4273327       38.82   210079  59357   197887.3  8    23    6.83             
ERR6938074   175                  149                     109                     87                       49                       21                       3765011                 3745664                    3658515                    3500142                     2826842                     1840676                     175        198438          3765011       39.02   49870   12024   63800.6   22   78    4.97             
ERR6938077   62                   55                      44                      37                       32                       25                       3865850                 3861134                    3837906                    3787538                     3718121                     3457241                     62         436281          3865850       39.05   148272  49165   175529.2  9    26    5.12             
ERR6938084   43                   38                      23                      22                       20                       16                       3987863                 3984051                    3948173                    3943057                     3914416                     3748329                     43         651903          3987863       38.95   291485  67803   329765.7  5    14    7.25             
ERR6938087   45                   38                      32                      28                       25                       24                       3953325                 3948691                    3931743                    3906496                     3851588                     3825281                     45         474732          3953325       39.01   209352  81812   204986.8  8    21    12.45            
ERR6938090   68                   57                      43                      32                       30                       25                       4271459                 4264078                    4237130                    4156170                     4124129                     3970962                     68         352777          4271459       38.81   210079  59357   198064.6  8    23    8.99             
ERR6938093   175                  150                     108                     87                       49                       21                       3764647                 3745869                    3654870                    3502110                     2829006                     1840465                     175        198438          3764647       39.02   49870   12759   63829.7   22   77    4.81             
ERR6938096   53                   44                      38                      32                       24                       21                       4000573                 3993850                    3983340                    3942807                     3830168                     3707871                     53         437201          4000573       39.00   222381  53481   216532.1  7    19    7.22             
ERR6938099   68                   56                      38                      35                       28                       20                       3946705                 3938580                    3899594                    3878689                     3765400                     3469506                     68         555491          3946705       39.18   177706  42374   235419.9  7    22    19.86            
ERR6938111   55                   51                      40                      34                       28                       23                       3940971                 3938369                    3915816                    3873347                     3790701                     3600951                     55         436986          3940971       39.01   189721  52446   195314.6  8    22    5.00             
ERR6938114   66                   57                      43                      33                       30                       25                       4271123                 4264559                    4236668                    4165425                     4123316                     3970149                     66         352767          4271123       38.82   210079  59357   198004.2  8    23    11.50            
ERR6938153   202                  166                     113                     94                       54                       24                       3859883                 3834084                    3698991                    3564979                     2955140                     1901834                     202        154040          3859883       39.04   47673   11224   56853.4   25   86    7.64             
ERR6938409   63                   53                      43                      37                       32                       29                       4027847                 4020536                    3999326                    3960436                     3878281                     3755410                     63         347342          4027847       38.94   159736  52124   167451.6  9    27    16.93            
ERR6938479   71                   62                      51                      44                       35                       24                       3883481                 3877583                    3848987                    3801442                     3667763                     3254945                     71         620833          3883481       38.96   111747  37963   244606.5  7    30    10.17            
ERR6938729   81                   72                      52                      43                       36                       27                       4154799                 4147615                    4101037                    4029918                     3890071                     3562482                     81         301830          4154799       38.98   131055  35887   152724.6  10   32    7.00             
ERR6938731   69                   55                      45                      41                       34                       26                       4029953                 4019998                    4002957                    3975208                     3838727                     3535394                     69         301830          4029953       39.04   131054  43246   158216.7  10   29    4.94             
ERR6938732   116                  86                      47                      41                       33                       26                       4125221                 4103096                    4022928                    3977395                     3821702                     3562447                     116        301830          4125221       39.01   131053  36919   156897.3  10   30    8.92             
ERR6938733   101                  80                      60                      46                       36                       28                       4016486                 4002085                    3958119                    3856238                     3676931                     3366983                     101        347684          4016486       38.93   115501  36683   150852.4  10   34    17.98            
ERR6938734   98                   80                      63                      53                       39                       26                       3891293                 3879209                    3837770                    3772056                     3538603                     3065747                     98         333473          3891293       38.89   116584  27113   124932.7  12   38    0.00             
ERR6938735   91                   74                      60                      53                       39                       26                       3893143                 3881166                    3849513                    3802854                     3561285                     3084280                     91         333473          3893143       38.89   122755  27132   126370.7  12   37    0.00             
ERR6938736   92                   75                      61                      54                       40                       26                       3894349                 3882372                    3850719                    3804060                     3562491                     3043358                     92         333473          3894349       38.90   122755  27132   123486.3  12   38    0.00             
ERR6938738   431                  396                     266                     197                      84                       32                       7295238                 7269433                    6916708                    6420881                     4568482                     2779409                     431        268532          7295238       40.50   34694   8383    56210.1   53   213   23.43            
ERR6938739   33                   30                      19                      19                       17                       15                       3913533                 3911436                    3885030                    3885030                     3851878                     3784200                     33         650858          3913533       38.94   414693  100301  362374.4  4    12    4.98             
ERR6938740   30                   27                      18                      18                       17                       15                       3915581                 3913500                    3890542                    3890542                     3876156                     3808478                     30         650990          3915581       38.94   414892  114134  364371.4  4    11    5.01             
ERR6938741   53                   47                      42                      39                       32                       24                       3778978                 3774581                    3764207                    3745777                     3625899                     3350153                     53         454546          3778978       38.97   149749  37538   174506.3  9    26    7.62             
ERR6938743   56                   49                      41                      39                       32                       24                       3778575                 3773642                    3756305                    3745752                     3625874                     3350269                     56         454546          3778575       38.97   149550  37538   174542.4  9    26    7.65             
ERR6938745   67                   62                      49                      45                       37                       22                       3982433                 3978798                    3945259                    3916005                     3805703                     3278101                     67         355729          3982433       38.92   141160  33646   169849.4  9    30    9.62             
ERR6938749   71                   64                      50                      46                       37                       23                       3981237                 3976458                    3941085                    3911831                     3777594                     3277093                     71         347741          3981237       38.93   141081  33646   154048.3  10   31    17.16            
ERR6938913   158                  140                     100                     84                       47                       18                       3650290                 3636629                    3544091                    3429461                     2792348                     1775509                     158        218441          3650290       39.06   45921   13699   74848.7   20   72    2.74             
ERR6938928   57                   47                      39                      33                       30                       27                       3930818                 3923297                    3901630                    3857202                     3811507                     3712037                     57         295941          3930818       39.08   157417  60897   163297.6  9    24    7.40             
ERR6938929   57                   47                      39                      33                       30                       27                       3931254                 3924016                    3905026                    3860598                     3814903                     3715433                     57         295941          3931254       39.09   161872  60897   163498.4  9    24    9.79             
ERR6938931   44                   41                      32                      26                       25                       23                       4009346                 4007030                    3988546                    3941523                     3918237                     3862045                     44         393007          4009346       39.08   230811  81130   229126.2  7    19    7.36             
ERR7226293   53                   49                      41                      36                       29                       23                       3926020                 3922664                    3910837                    3876150                     3761199                     3553030                     53         412982          3926020       39.01   160765  50512   193596.6  8    23    0.00             
ERR7226295   112                  100                     78                      66                       44                       24                       3554673                 3546380                    3484876                    3394962                     3039714                     2349962                     112        311415          3554673       38.99   77880   19002   93769.4   15   52    0.00             
ERR7226554   60                   51                      37                      33                       29                       24                       3941955                 3935693                    3901100                    3869123                     3809577                     3645220                     60         317579          3941955       39.11   161262  60557   178940.9  9    23    10.05            
ERR7226556   59                   49                      38                      34                       30                       25                       3941410                 3933622                    3906042                    3873953                     3814407                     3650050                     59         317579          3941410       39.11   162130  60557   171980.3  9    24    12.08            
ERR7226586   46                   36                      31                      28                       25                       18                       4004304                 3996743                    3985726                    3968862                     3930490                     3699677                     46         764977          4004304       39.05   216776  56433   315366.0  6    17    14.86            
ERR7226588   152                  126                     101                     82                       62                       40                       6215191                 6195883                    6135533                    5999904                     5635924                     4838139                     152        419428          6215191       36.14   98235   25774   150395.9  16   61    94.77            
ERR7226590   64                   56                      37                      33                       25                       21                       3920694                 3914693                    3867844                    3835751                     3676473                     3529095                     64         457820          3920694       38.99   232406  50472   227973.1  6    21    9.87             
ERR7226592   61                   56                      38                      33                       25                       21                       3921466                 3917288                    3875242                    3837959                     3678681                     3531303                     61         457820          3921466       38.99   232406  50472   228270.0  6    21    9.97             
ERR7226594   63                   56                      37                      33                       25                       21                       3920569                 3914924                    3868571                    3836478                     3677200                     3529822                     63         457820          3920569       38.99   232404  50472   228148.1  6    21    5.02             
ERR7226612   58                   54                      43                      37                       32                       26                       3825429                 3822507                    3794387                    3753106                     3667872                     3481172                     58         342206          3825429       38.96   146608  51269   165981.6  9    26    9.75             
ERR7226614   41                   38                      27                      26                       25                       23                       4138710                 4136367                    4110679                    4105151                     4093208                     4036698                     41         898119          4138710       39.08   271651  78040   348561.0  5    18    9.37             
ERR7226616   83                   74                      49                      41                       37                       28                       4182138                 4174993                    4122167                    4066330                     3995184                     3685191                     83         315388          4182138       38.97   133720  47491   155623.1  10   30    4.73             
ERR7226618   24                   18                      15                      12                       12                       11                       3962200                 3957947                    3951138                    3932145                     3932145                     3905589                     24         1805400         3962200       39.01   456615  115798  982821.7  2    8     9.92             
ERR7226620   45                   37                      30                      28                       25                       18                       4003433                 3997371                    3979764                    3968035                     3929663                     3698966                     45         764972          4003433       39.05   216776  56433   315370.1  6    17    9.72             
ERR7226622   45                   37                      30                      28                       25                       18                       4003274                 3997037                    3979966                    3968237                     3929865                     3699052                     45         764868          4003274       39.05   216776  56533   315357.1  6    17    14.71            
ERR7226626   46                   40                      35                      29                       25                       24                       4146626                 4142488                    4128760                    4089111                     4013672                     3987455                     46         553259          4146626       39.05   222326  75647   244308.9  7    20    4.77             
ERR7226644   24                   19                      17                      16                       15                       12                       3779248                 3775748                    3771625                    3766096                     3756015                     3641907                     24         546334          3779248       38.86   428710  170250  361618.8  4    10    13.07            
ERR7226646   48                   43                      34                      31                       28                       23                       3888641                 3885598                    3860079                    3840082                     3788721                     3617449                     48         332894          3888641       38.97   202704  53124   193610.9  8    21    2.55             
ERR7226648   16                   13                      12                      11                       11                       9                        3681944                 3679483                    3678137                    3672835                     3672835                     3601489                     16         1189405         3681944       38.97   825214  172635  701553.7  2    7     2.66             
ERR7226650   79                   72                      54                      41                       32                       25                       3797174                 3791941                    3753423                    3648048                     3494091                     3211300                     79         358856          3797174       39.00   150760  38733   149287.6  9    30    20.33            
ERR7226654   52                   45                      34                      31                       25                       20                       3991194                 3986781                    3958608                    3939634                     3852572                     3667941                     52         578782          3991194       38.88   232681  60053   252451.1  6    19    12.33            
ERR7226656   55                   47                      39                      34                       27                       22                       3927703                 3921963                    3910136                    3875449                     3760499                     3586730                     55         412916          3927703       39.01   188278  54103   204793.7  8    21    0.00             
ERR7226658   53                   48                      39                      34                       27                       22                       3926421                 3922529                    3909659                    3874972                     3760021                     3586252                     53         412982          3926421       39.01   188278  54103   204803.0  8    21    2.44             
ERR7226676   71                   64                      53                      46                       36                       25                       3972748                 3967669                    3940508                    3889738                     3737581                     3350517                     71         347741          3972748       38.93   149180  35845   148153.6  10   31    17.07            
ERR7226678   51                   47                      39                      34                       27                       22                       3924885                 3921529                    3909702                    3875015                     3759964                     3586195                     51         413048          3924885       39.00   188278  54103   204868.6  8    21    5.04             
ERR7226680   22                   19                      18                      17                       17                       15                       3933772                 3931735                    3930512                    3925146                     3925146                     3852475                     22         722951          3933772       39.06   347226  126461  367170.8  5    12    12.41            
ERR7226688   105                  87                      67                      56                       39                       31                       3815632                 3802391                    3750119                    3660395                     3362925                     3077023                     105        236593          3815632       38.90   77858   22151   106160.0  14   43    7.55             
ERR7226690   106                  88                      69                      58                       40                       30                       3814594                 3801839                    3750732                    3661008                     3352940                     2991219                     106        236593          3814594       38.89   77858   22151   104538.4  14   44    5.11             
ERR8024946   266                  253                     162                     117                      53                       14                       4030322                 4019688                    3785270                    3457137                     2422623                     1033704                     266        123408          4030322       39.16   31988   7736    38919.9   39   137   4.86             
ERR8024947   239                  223                     152                     113                      53                       15                       3994427                 3982492                    3799551                    3505893                     2517562                     1168617                     239        138030          3994427       39.10   33428   8717    42388.9   36   123   2.48             
ERR8024950   218                  204                     148                     107                      50                       20                       3973062                 3962474                    3827959                    3540479                     2617869                     1510822                     218        138922          3973062       39.17   41049   9305    47059.2   31   111   5.03             
ERR8024951   216                  200                     152                     96                       49                       19                       3966149                 3954195                    3837104                    3447852                     2730082                     1648221                     216        138030          3966149       39.09   42222   7965    53364.9   27   110   4.99             
ERR8024959   271                  241                     147                     91                       55                       21                       4013637                 3991014                    3737400                    3320369                     2702883                     1513858                     271        110421          4013637       39.14   37095   7113    43490.1   33   127   7.45             
SRR10583096  75                   71                      58                      47                       40                       23                       3683667                 3681306                    3651816                    3573270                     3454336                     2813445                     75         479564          3683667       38.88   96034   31993   149173.5  11   36    8.06             
SRR11514880  303                  64                      26                      22                       17                       15                       4282276                 4114131                    4049132                    4024470                     3929055                     3874187                     303        609768          4282276       39.49   348715  50599   352048.2  5    15    11.63            
SRR11589174  56                   52                      41                      37                       31                       23                       3952793                 3949523                    3928915                    3899700                     3818826                     3537587                     56         290945          3952793       38.93   160879  46205   165133.8  10   24    2.48             
SRR11589267  38                   33                      23                      21                       20                       17                       3995273                 3991590                    3970326                    3958631                     3944929                     3842748                     38         733799          3995273       38.75   269504  109684  323068.9  5    14    0.00             
SRR12905336  113                  106                     88                      67                       52                       29                       4251297                 4245771                    4201426                    4039254                     3800847                     2989556                     113        266810          4251297       38.78   76680   22388   101131.3  16   54    4.54             
SRR12905337  274                  248                     156                     102                      54                       15                       3882189                 3862167                    3635865                    3237002                     2446887                     1118755                     274        123255          3882189       39.14   31913   7204    39593.4   37   133   5.15             
SRR12905338  169                  154                     104                     76                       49                       28                       3985519                 3975558                    3862956                    3649878                     3201982                     2499584                     169        183530          3985519       39.15   63787   12627   73344.5   20   71    0.00             
SRR12905341  171                  168                     119                     86                       53                       26                       3898615                 3896561                    3779602                    3528137                     2973946                     2085955                     171        168224          3898615       38.94   52398   10761   59922.3   24   85    7.59             
SRR13327178  211                  189                     128                     96                       59                       25                       3995922                 3979404                    3826803                    3597317                     2978074                     1788166                     211        140344          3995922       38.89   45990   10084   48527.1   30   96    2.45             
SRR13327179  276                  258                     159                     116                      52                       13                       3982151                 3969451                    3725094                    3409534                     2297151                     998194                      276        131103          3982151       38.94   28376   7046    38684.9   41   137   2.54             
SRR13327181  208                  185                     134                     104                      61                       17                       3951788                 3934775                    3797625                    3583029                     2861379                     1347783                     208        167469          3951788       39.19   37399   10457   48442.7   32   102   2.45             
SRR13327185  197                  177                     136                     97                       60                       22                       3939018                 3924171                    3824122                    3541820                     2924247                     1589868                     197        148038          3939018       39.22   44219   9941    47322.6   31   98    0.00             
SRR13327186  213                  202                     151                     110                      57                       17                       3955071                 3947720                    3820016                    3515718                     2605188                     1208484                     213        131103          3955071       38.98   33021   8961    41269.0   36   115   9.99             
SRR13327187  89                   77                      57                      50                       41                       29                       4036324                 4028438                    3974814                    3925737                     3786850                     3358727                     89         222817          4036324       39.03   114954  33734   120364.1  12   36    7.41             
SRR13327189  106                  92                      67                      60                       47                       30                       4032180                 4022344                    3958381                    3904814                     3657159                     3035137                     106        181349          4032180       39.04   82031   28772   94978.8   16   46    0.00             
SRR13327190  147                  136                     105                     83                       60                       32                       4018748                 4010404                    3914254                    3742503                     3364357                     2386580                     147        140293          4018748       39.08   57127   14941   58522.1   25   74    7.39             
SRR13327191  97                   84                      63                      56                       45                       30                       3993401                 3984544                    3930478                    3877380                     3723617                     3218673                     97         213147          3993401       39.03   102221  30455   106622.1  14   41    4.98             
SRR13327192  108                  96                      74                      63                       47                       29                       4196985                 4188575                    4140186                    4061245                     3790594                     3151508                     108        333925          4196985       38.92   93970   25100   121378.1  13   47    9.75             
SRR13327193  78                   68                      55                      53                       45                       28                       3954237                 3947877                    3921015                    3902214                     3765879                     3134385                     78         194266          3954237       38.88   113202  33637   105489.9  14   39    5.03             
SRR13327194  246                  234                     157                     117                      59                       21                       4157839                 4148620                    3956717                    3678252                     2774216                     1407972                     246        106931          4157839       39.02   39492   8303    40670.8   37   125   4.79             
SRR13327196  284                  268                     164                     113                      52                       15                       3943122                 3931449                    3663835                    3287057                     2291814                     1073239                     284        143419          3943122       39.17   27716   6944    37724.0   40   145   2.74             
SRR13327198  105                  94                      77                      62                       46                       29                       4035465                 4027576                    3984816                    3866008                     3578753                     2985303                     105        209748          4035465       39.02   87438   23822   97376.8   15   49    7.38             
SRR13327199  126                  117                     85                      71                       53                       25                       3844351                 3837440                    3751226                    3646534                     3344951                     2340331                     126        260430          3844351       38.96   73517   21716   79727.7   19   58    7.75             
SRR13327200  109                  93                      78                      64                       48                       30                       3964551                 3953801                    3915182                    3805025                     3530537                     2900375                     109        217195          3964551       39.14   81392   24077   91786.7   16   50    2.52             
SRR13327201  163                  147                     114                     98                       62                       22                       4026579                 4015964                    3930832                    3808470                     3224269                     1772812                     163        136147          4026579       39.06   45015   14673   54734.7   28   83    2.46             
SRR13327203  279                  253                     179                     130                      55                       12                       3995065                 3975247                    3790372                    3438772                     2159382                     759063                      279        84650           3995065       39.17   25622   7913    30930.3   49   148   2.48             
SRR13327204  237                  224                     157                     113                      60                       16                       3999026                 3989403                    3807944                    3479656                     2606595                     1066837                     237        106068          3999026       39.14   34400   8712    37098.6   40   126   4.93             
SRR13327205  273                  262                     177                     127                      54                       8                        3960145                 3952175                    3713342                    3332059                     2192227                     621136                      273        149846          3960145       38.98   27486   7912    34038.9   46   154   7.37             
SRR13327206  212                  189                     135                     102                      54                       23                       4018418                 4000696                    3853802                    3616145                     2768900                     1683399                     212        165222          4018418       39.10   42301   9956    48925.2   31   103   0.00             
SRR13327207  262                  242                     169                     124                      54                       14                       3926103                 3911562                    3709939                    3376556                     2264981                     883751                      262        80221           3926103       39.28   28515   7804    32905.9   43   143   2.52             
SRR13401434  547                  496                     245                     119                      23                       1                        3822166                 3782092                    3110894                    2190379                     756163                      57944                       547        57944           3822166       39.35   12063   3265    15155.1   94   326   5.52             
SRR13430624  962                  825                     219                     63                       5                        2                        3705951                 3595134                    2094665                    1028470                     229829                      144634                      962        74238           3705951       39.65   5730    1725    9870.6    174  629   8.45             
SRR13430625  393                  363                     193                     116                      44                       5                        3816094                 3792383                    3322975                    2730406                     1593947                     305773                      393        71550           3816094       39.19   21266   4353    23248.5   58   217   13.99            
SRR13430626  973                  827                     273                     78                       3                        0                        4049844                 3935631                    2572329                    1202901                     129775                      0                           973        48612           4049844       39.57   6772    1855    8888.8    179  614   86.77            
SRR13430627  730                  625                     244                     99                       17                       3                        3829659                 3745101                    2766421                    1713850                     565336                      169680                      730        58387           3829659       39.37   9161    2353    12812.9   121  435   151.55           
SRR14100602  858                  721                     232                     82                       5                        1                        3723792                 3614878                    2335884                    1245202                     188662                      61614                       858        61614           3723792       39.67   7262    1941    9525.1    155  535   42.91            
SRR14101519  1009                 880                     236                     69                       3                        1                        3896461                 3790893                    2212117                    1053346                     162916                      109189                      1009       109189          3896461       39.66   5826    1733    10013.2   188  669   2.67             
SRR14101547  501                  455                     230                     135                      22                       1                        3767592                 3730191                    3144822                    2457226                     691216                      50562                       501        50562           3767592       39.36   14422   3491    15627.5   87   289   0.00             
SRR14101709  729                  626                     250                     104                      10                       2                        3808587                 3728159                    2776623                    1729232                     368408                      118914                      729        61433           3808587       39.27   8962    2344    12297.2   123  437   126.14           
SRR14101949  319                  287                     183                     126                      45                       8                        3843203                 3818204                    3561749                    3142654                     1794416                     542935                      319        113478          3843203       39.20   23241   5995    29068.0   51   165   0.00             
SRR14102219  402                  370                     217                     124                      35                       6                        3893055                 3869248                    3466152                    2784324                     1389553                     413839                      402        106465          3893055       39.19   18969   4564    24308.7   61   225   5.11             
SRR14102306  222                  206                     138                     102                      58                       18                       3949760                 3938152                    3765720                    3511541                     2813904                     1438862                     222        165391          3949760       39.00   36893   8826    49153.2   31   107   2.56             
SRR14102521  389                  323                     199                     129                      42                       8                        3911286                 3861537                    3555016                    3055446                     1632933                     562829                      389        108669          3911286       39.07   22044   5283    27511.6   56   193   10.20            
SRR14116705  1132                 923                     214                     41                       0                        0                        3558137                 3390314                    1718370                    537898                      0                           0                           1132       21726           3558137       39.80   4868    1391    5801.9    227  764   2.81             
SRR14116736  538                  485                     240                     124                      16                       2                        3842760                 3799969                    3172920                    2324594                     652805                      177391                      538        114081          3842760       39.45   12881   3381    18159.4   89   311   5.44             
SRR14280111  49                   42                      32                      29                       25                       21                       4035123                 4030194                    4010613                    3990457                     3932228                     3796109                     49         572962          4035123       38.95   236927  62491   298815.2  5    18    10.24            
SRR14455652  76                   64                      49                      41                       36                       29                       4037152                 4028611                    3993698                    3934854                     3852041                     3595113                     76         506530          4037152       39.17   129974  47623   172504.2  10   30    9.76             
SRR17931033  81                   68                      43                      35                       29                       21                       3959160                 3950677                    3898138                    3843410                     3744100                     3462251                     81         505977          3959160       39.01   156524  42602   207863.6  8    24    12.20            
SRR17931048  60                   46                      35                      31                       24                       18                       4174638                 4163793                    4139677                    4109051                     4011468                     3819192                     60         867057          4174638       38.94   353729  55032   375180.0  4    17    9.29             
SRR17931144  44                   38                      32                      28                       23                       19                       4020153                 4015517                    4000707                    3971389                     3881845                     3727247                     44         615427          4020153       38.77   229435  59361   290879.5  6    18    7.26             
SRR17931145  50                   38                      29                      24                       21                       18                       4027386                 4018525                    3996749                    3961322                     3918263                     3800493                     50         615428          4027386       38.78   278084  67970   307743.7  5    16    7.25             
SRR18114233  80                   68                      53                      43                       37                       29                       4036178                 4027663                    3989914                    3917692                     3812105                     3524085                     80         454608          4036178       39.17   126669  41358   160621.2  11   32    7.36             
SRR19107616  65                   52                      38                      31                       27                       23                       4083746                 4074291                    4045757                    3997376                     3927392                     3800879                     65         339847          4083746       39.05   201598  68033   195109.7  8    21    5.14             
SRR25445074  54                   48                      41                      36                       30                       21                       3921018                 3916540                    3898006                    3860323                     3773277                     3441017                     54         373301          3921018       38.96   167920  44581   187834.6  8    23    17.34            
SRR25445075  53                   47                      38                      35                       31                       22                       3920635                 3916279                    3892066                    3866746                     3815640                     3476455                     53         390249          3920635       38.96   184719  47057   180522.6  8    24    12.32            
SRR25445076  52                   47                      39                      35                       31                       21                       3920641                 3916902                    3897753                    3867144                     3816042                     3446214                     52         390249          3920641       38.96   175856  47057   188585.9  8    23    17.45            
SRR25445077  55                   48                      37                      34                       30                       22                       3844535                 3839662                    3811451                    3786129                     3735027                     3430588                     55         322179          3844535       38.97   198445  48191   183573.5  8    23    7.70             
SRR25445078  58                   54                      42                      37                       30                       20                       3846124                 3843324                    3815514                    3774168                     3680493                     3267546                     58         406321          3846124       38.93   182135  42800   187860.0  8    25    15.34            
SRR25445079  66                   58                      46                      41                       34                       23                       3894305                 3888973                    3860815                    3819469                     3725798                     3263954                     66         293113          3894305       38.92   152487  42800   151690.4  10   29    17.67            
SRR25445080  61                   56                      44                      39                       33                       23                       3874480                 3870969                    3842502                    3801156                     3721555                     3308608                     61         293113          3874480       38.94   162136  43524   159255.4  9    27    15.10            
SRR25445081  65                   57                      45                      40                       33                       22                       3883191                 3877685                    3849739                    3808393                     3714719                     3252873                     65         293113          3883191       38.93   162136  42800   159658.7  9    28    15.17            
SRR25445082  61                   56                      44                      39                       33                       23                       3893414                 3889782                    3861737                    3820391                     3740790                     3327843                     61         293113          3893414       38.92   162136  43524   161074.8  9    27    14.97            
SRR25445083  55                   51                      39                      32                       26                       20                       3879002                 3875946                    3851882                    3802693                     3711353                     3495464                     55         408391          3879002       38.86   260489  56730   235291.4  6    20    12.63            
SRR25445084  65                   59                      46                      40                       33                       22                       3889819                 3885812                    3856725                    3810023                     3716349                     3254506                     65         293113          3889819       38.92   162136  42800   160060.4  9    28    17.61            
SRR25445085  62                   56                      45                      40                       34                       22                       3894342                 3889848                    3862927                    3821581                     3741983                     3260989                     62         293113          3894342       38.92   162136  42649   160542.3  9    28    17.54            
SRR25445086  62                   57                      44                      39                       33                       23                       3807816                 3804484                    3774851                    3733505                     3654003                     3241054                     62         293113          3807816       38.98   162136  43524   154795.0  9    27    15.49            
SRR25445087  65                   57                      46                      41                       33                       22                       3861070                 3855603                    3828682                    3787336                     3673631                     3209893                     65         293113          3861070       38.94   162136  42800   157089.0  9    28    17.79            
SRR25445088  55                   50                      43                      39                       34                       27                       3827539                 3824255                    3807922                    3777373                     3707966                     3431457                     55         293113          3827539       38.93   162136  46079   154533.2  9    28    15.26            
SRR25445089  62                   57                      44                      38                       33                       23                       3894180                 3890559                    3861358                    3810015                     3740609                     3327662                     62         293113          3894180       38.92   162136  43524   161024.8  9    27    12.56            
SRR25445090  62                   58                      45                      40                       33                       23                       3894595                 3891602                    3862158                    3820812                     3717395                     3304447                     62         293113          3894595       38.92   162136  42800   160007.9  9    28    17.51            
SRR25445091  61                   57                      44                      39                       33                       23                       3892828                 3890024                    3860898                    3819552                     3739951                     3327003                     61         293113          3892828       38.92   162136  43524   161075.0  9    27    17.70            
SRR25445092  61                   56                      44                      39                       33                       23                       3894213                 3890757                    3862811                    3821465                     3741864                     3328917                     61         293113          3894213       38.92   162136  43524   161097.8  9    27    12.61            
SRR25445093  3526                 1692                    57                      41                       33                       22                       7954508                 6638369                    3871418                    3755300                     3639505                     3177660                     3526       293113          7954508       43.76   3936    802     74830.2   82   2273  27.67            
SRR25445094  47                   44                      36                      33                       27                       23                       4021854                 4019605                    4001970                    3982005                     3890993                     3751536                     47         412286          4021854       38.94   260489  57120   234105.0  6    21    12.11            
SRR25445095  71                   57                      47                      43                       34                       24                       3856395                 3847705                    3826201                    3794518                     3667972                     3237599                     71         293113          3856395       38.94   131055  43524   148890.8  10   29    15.22            
SRR25445096  63                   57                      45                      40                       34                       23                       3895470                 3891430                    3862593                    3821247                     3741648                     3282778                     63         293113          3895470       38.92   160711  43524   157222.1  9    28    17.69            
